INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2016-02-01T03:00:00-00:00,2016-02-01T04:00:00-00:00,1,2016-01-31,20,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,27351.98,DAM,1
2016-02-01T02:00:00-00:00,2016-02-01T03:00:00-00:00,1,2016-01-31,19,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,27474.46,DAM,1
2016-02-01T04:00:00-00:00,2016-02-01T05:00:00-00:00,1,2016-01-31,21,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,26646.75,DAM,1
2016-02-01T07:00:00-00:00,2016-02-01T08:00:00-00:00,1,2016-01-31,24,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,21697.06,DAM,1
2016-02-01T01:00:00-00:00,2016-02-01T02:00:00-00:00,1,2016-01-31,18,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,25827.15,DAM,1
2016-02-01T06:00:00-00:00,2016-02-01T07:00:00-00:00,1,2016-01-31,23,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,23329.05,DAM,1
2016-02-01T05:00:00-00:00,2016-02-01T06:00:00-00:00,1,2016-01-31,22,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,25205.62,DAM,1
2016-02-01T00:00:00-00:00,2016-02-01T01:00:00-00:00,1,2016-01-31,17,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,23128.37,DAM,1
2016-02-01T05:00:00-00:00,2016-02-01T06:00:00-00:00,1,2016-01-31,22,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3763.04,DAM,2
2016-02-01T06:00:00-00:00,2016-02-01T07:00:00-00:00,1,2016-01-31,23,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3612.33,DAM,2
2016-02-01T01:00:00-00:00,2016-02-01T02:00:00-00:00,1,2016-01-31,18,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3908.54,DAM,2
2016-02-01T02:00:00-00:00,2016-02-01T03:00:00-00:00,1,2016-01-31,19,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3992.95,DAM,2
2016-02-01T04:00:00-00:00,2016-02-01T05:00:00-00:00,1,2016-01-31,21,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3907.24,DAM,2
2016-02-01T00:00:00-00:00,2016-02-01T01:00:00-00:00,1,2016-01-31,17,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3577.24,DAM,2
2016-02-01T03:00:00-00:00,2016-02-01T04:00:00-00:00,1,2016-01-31,20,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3976.79,DAM,2
