INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2016-01-01T00:00:00-00:00,2016-01-01T01:00:00-00:00,1,2015-12-31,17,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3028.74,DAM,4
2016-01-01T03:00:00-00:00,2016-01-01T04:00:00-00:00,1,2015-12-31,20,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2996.13,DAM,4
2016-01-01T06:00:00-00:00,2016-01-01T07:00:00-00:00,1,2015-12-31,23,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2685.74,DAM,4
2016-01-01T01:00:00-00:00,2016-01-01T02:00:00-00:00,1,2015-12-31,18,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3224.52,DAM,4
2016-01-01T04:00:00-00:00,2016-01-01T05:00:00-00:00,1,2015-12-31,21,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2902.94,DAM,4
2016-01-01T07:00:00-00:00,2016-01-01T08:00:00-00:00,1,2015-12-31,24,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2607.67,DAM,4
2016-01-01T01:00:00-00:00,2016-01-01T02:00:00-00:00,1,2015-12-31,18,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,13244.18,DAM,5
2016-01-01T00:00:00-00:00,2016-01-01T01:00:00-00:00,1,2015-12-31,17,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,11900.43,DAM,5
2016-01-01T07:00:00-00:00,2016-01-01T08:00:00-00:00,1,2015-12-31,24,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,10770.45,DAM,5
2016-01-01T02:00:00-00:00,2016-01-01T03:00:00-00:00,1,2015-12-31,19,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,13431.53,DAM,5
2016-01-01T03:00:00-00:00,2016-01-01T04:00:00-00:00,1,2015-12-31,20,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,13120.26,DAM,5
2016-01-01T06:00:00-00:00,2016-01-01T07:00:00-00:00,1,2015-12-31,23,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,11434.64,DAM,5
2016-01-01T05:00:00-00:00,2016-01-01T06:00:00-00:00,1,2015-12-31,22,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,12083.71,DAM,5
2016-01-01T04:00:00-00:00,2016-01-01T05:00:00-00:00,1,2015-12-31,21,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,12634.71,DAM,5
2016-01-01T02:00:00-00:00,2016-01-01T03:00:00-00:00,1,2015-12-31,19,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,12785,DAM,6
2016-01-01T06:00:00-00:00,2016-01-01T07:00:00-00:00,1,2015-12-31,23,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,11170,DAM,6
2016-01-01T04:00:00-00:00,2016-01-01T05:00:00-00:00,1,2015-12-31,21,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,12054,DAM,6
2016-01-01T07:00:00-00:00,2016-01-01T08:00:00-00:00,1,2015-12-31,24,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,10562,DAM,6
2016-01-01T03:00:00-00:00,2016-01-01T04:00:00-00:00,1,2015-12-31,20,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,12491,DAM,6
2016-01-01T05:00:00-00:00,2016-01-01T06:00:00-00:00,1,2015-12-31,22,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,11686,DAM,6
2016-01-01T00:00:00-00:00,2016-01-01T01:00:00-00:00,1,2015-12-31,17,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,11040,DAM,6
2016-01-01T01:00:00-00:00,2016-01-01T02:00:00-00:00,1,2015-12-31,18,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,12667,DAM,6
2016-01-01T01:00:00-00:00,2016-01-01T02:00:00-00:00,1,2015-12-31,18,0,DAM,SDGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.4,2932.53,DAM,7
2016-01-01T06:00:00-00:00,2016-01-01T07:00:00-00:00,1,2015-12-31,23,0,DAM,SDGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.4,2440.52,DAM,7
2016-01-01T03:00:00-00:00,2016-01-01T04:00:00-00:00,1,2015-12-31,20,0,DAM,SDGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.4,2849.26,DAM,7
2016-01-01T00:00:00-00:00,2016-01-01T01:00:00-00:00,1,2015-12-31,17,0,DAM,SDGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.4,2545.95,DAM,7
2016-01-01T07:00:00-00:00,2016-01-01T08:00:00-00:00,1,2015-12-31,24,0,DAM,SDGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.4,2302.92,DAM,7
2016-01-01T04:00:00-00:00,2016-01-01T05:00:00-00:00,1,2015-12-31,21,0,DAM,SDGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.4,2713.56,DAM,7
2016-01-01T02:00:00-00:00,2016-01-01T03:00:00-00:00,1,2015-12-31,19,0,DAM,SDGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.4,2963.88,DAM,7
2016-01-01T05:00:00-00:00,2016-01-01T06:00:00-00:00,1,2015-12-31,22,0,DAM,SDGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.4,2576.37,DAM,7
2016-01-01T03:00:00-00:00,2016-01-01T04:00:00-00:00,1,2015-12-31,20,0,DAM,VEA-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.5,90.93,DAM,8
2016-01-01T05:00:00-00:00,2016-01-01T06:00:00-00:00,1,2015-12-31,22,0,DAM,VEA-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.5,89.76,DAM,8
2016-01-01T04:00:00-00:00,2016-01-01T05:00:00-00:00,1,2015-12-31,21,0,DAM,VEA-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.5,91.54,DAM,8
2016-01-01T00:00:00-00:00,2016-01-01T01:00:00-00:00,1,2015-12-31,17,0,DAM,VEA-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.5,81.44,DAM,8
2016-01-01T06:00:00-00:00,2016-01-01T07:00:00-00:00,1,2015-12-31,23,0,DAM,VEA-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.5,88.8,DAM,8
2016-01-01T07:00:00-00:00,2016-01-01T08:00:00-00:00,1,2015-12-31,24,0,DAM,VEA-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.5,87.43,DAM,8
2016-01-01T02:00:00-00:00,2016-01-01T03:00:00-00:00,1,2015-12-31,19,0,DAM,VEA-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.5,89.79,DAM,8
2016-01-01T01:00:00-00:00,2016-01-01T02:00:00-00:00,1,2015-12-31,18,0,DAM,VEA-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.5,90.78,DAM,8
2016-01-02T01:00:00-00:00,2016-01-02T02:00:00-00:00,1,2016-01-01,18,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,27118.31,DAM,9
2016-01-02T00:00:00-00:00,2016-01-02T01:00:00-00:00,1,2016-01-01,17,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,23240.57,DAM,9
2016-01-02T03:00:00-00:00,2016-01-02T04:00:00-00:00,1,2016-01-01,20,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,27985.09,DAM,9
2016-01-01T08:00:00-00:00,2016-01-01T09:00:00-00:00,1,2016-01-01,1,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,23018.64,DAM,9
2016-01-01T14:00:00-00:00,2016-01-01T15:00:00-00:00,1,2016-01-01,7,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,22550.65,DAM,9
2016-01-01T19:00:00-00:00,2016-01-01T20:00:00-00:00,1,2016-01-01,12,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,21811.77,DAM,9
2016-01-01T23:00:00-00:00,2016-01-02T00:00:00-00:00,1,2016-01-01,16,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,21631.11,DAM,9
2016-01-01T13:00:00-00:00,2016-01-01T14:00:00-00:00,1,2016-01-01,6,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,21823.54,DAM,9
2016-01-01T17:00:00-00:00,2016-01-01T18:00:00-00:00,1,2016-01-01,10,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,22399.67,DAM,9
2016-01-01T21:00:00-00:00,2016-01-01T22:00:00-00:00,1,2016-01-01,14,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,21215.56,DAM,9
2016-01-01T10:00:00-00:00,2016-01-01T11:00:00-00:00,1,2016-01-01,3,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,21581.45,DAM,9
2016-01-01T11:00:00-00:00,2016-01-01T12:00:00-00:00,1,2016-01-01,4,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,21261,DAM,9
2016-01-01T12:00:00-00:00,2016-01-01T13:00:00-00:00,1,2016-01-01,5,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,21289.56,DAM,9
2016-01-01T22:00:00-00:00,2016-01-01T23:00:00-00:00,1,2016-01-01,15,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,21186.31,DAM,9
2016-01-01T16:00:00-00:00,2016-01-01T17:00:00-00:00,1,2016-01-01,9,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,22482.49,DAM,9
2016-01-01T09:00:00-00:00,2016-01-01T10:00:00-00:00,1,2016-01-01,2,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,22188.26,DAM,9
2016-01-01T15:00:00-00:00,2016-01-01T16:00:00-00:00,1,2016-01-01,8,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,22546.23,DAM,9
2016-01-01T18:00:00-00:00,2016-01-01T19:00:00-00:00,1,2016-01-01,11,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,22187.26,DAM,9
2016-01-02T04:00:00-00:00,2016-01-02T05:00:00-00:00,1,2016-01-01,21,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,27401.31,DAM,9
2016-01-02T05:00:00-00:00,2016-01-02T06:00:00-00:00,1,2016-01-01,22,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,26250.22,DAM,9
2016-01-02T07:00:00-00:00,2016-01-02T08:00:00-00:00,1,2016-01-01,24,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,23021.82,DAM,9
2016-01-02T02:00:00-00:00,2016-01-02T03:00:00-00:00,1,2016-01-01,19,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,28172.65,DAM,9
