INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2016-03-01T00:00:00-00:00,2016-03-01T01:00:00-00:00,1,2016-02-29,17,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,25810.82,DAM,1
2016-03-01T05:00:00-00:00,2016-03-01T06:00:00-00:00,1,2016-02-29,22,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,25209.34,DAM,1
2016-03-01T04:00:00-00:00,2016-03-01T05:00:00-00:00,1,2016-02-29,21,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,27092.07,DAM,1
2016-03-01T02:00:00-00:00,2016-03-01T03:00:00-00:00,1,2016-02-29,19,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,28677.48,DAM,1
2016-03-01T03:00:00-00:00,2016-03-01T04:00:00-00:00,1,2016-02-29,20,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,28180.75,DAM,1
2016-03-01T07:00:00-00:00,2016-03-01T08:00:00-00:00,1,2016-02-29,24,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,21085.53,DAM,1
2016-03-01T01:00:00-00:00,2016-03-01T02:00:00-00:00,1,2016-02-29,18,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,26705.59,DAM,1
2016-03-01T06:00:00-00:00,2016-03-01T07:00:00-00:00,1,2016-02-29,23,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,22883.08,DAM,1
2016-03-01T06:00:00-00:00,2016-03-01T07:00:00-00:00,1,2016-02-29,23,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3479.12,DAM,2
2016-03-01T04:00:00-00:00,2016-03-01T05:00:00-00:00,1,2016-02-29,21,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3902.45,DAM,2
2016-03-01T00:00:00-00:00,2016-03-01T01:00:00-00:00,1,2016-02-29,17,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3699.94,DAM,2
2016-03-01T03:00:00-00:00,2016-03-01T04:00:00-00:00,1,2016-02-29,20,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4022.58,DAM,2
2016-03-01T02:00:00-00:00,2016-03-01T03:00:00-00:00,1,2016-02-29,19,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4062.82,DAM,2
2016-03-01T01:00:00-00:00,2016-03-01T02:00:00-00:00,1,2016-02-29,18,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3857.31,DAM,2
2016-03-01T05:00:00-00:00,2016-03-01T06:00:00-00:00,1,2016-02-29,22,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3712.01,DAM,2
2016-03-01T07:00:00-00:00,2016-03-01T08:00:00-00:00,1,2016-02-29,24,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3258.91,DAM,2
2016-03-01T07:00:00-00:00,2016-03-01T08:00:00-00:00,1,2016-02-29,24,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4546.95,DAM,3
2016-03-01T04:00:00-00:00,2016-03-01T05:00:00-00:00,1,2016-02-29,21,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5322.33,DAM,3
2016-03-01T05:00:00-00:00,2016-03-01T06:00:00-00:00,1,2016-02-29,22,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5001.75,DAM,3
2016-03-01T02:00:00-00:00,2016-03-01T03:00:00-00:00,1,2016-02-29,19,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5580.57,DAM,3
2016-03-01T03:00:00-00:00,2016-03-01T04:00:00-00:00,1,2016-02-29,20,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5525.46,DAM,3
2016-03-01T01:00:00-00:00,2016-03-01T02:00:00-00:00,1,2016-02-29,18,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5505.95,DAM,3
2016-03-01T00:00:00-00:00,2016-03-01T01:00:00-00:00,1,2016-02-29,17,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,5286.95,DAM,3
2016-03-01T06:00:00-00:00,2016-03-01T07:00:00-00:00,1,2016-02-29,23,0,DAM,PACE,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,4708.23,DAM,3
2016-03-01T07:00:00-00:00,2016-03-01T08:00:00-00:00,1,2016-02-29,24,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2011.33,DAM,4
2016-03-01T04:00:00-00:00,2016-03-01T05:00:00-00:00,1,2016-02-29,21,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2529.64,DAM,4
2016-03-01T01:00:00-00:00,2016-03-01T02:00:00-00:00,1,2016-02-29,18,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2412,DAM,4
2016-03-01T06:00:00-00:00,2016-03-01T07:00:00-00:00,1,2016-02-29,23,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2177.92,DAM,4
2016-03-01T02:00:00-00:00,2016-03-01T03:00:00-00:00,1,2016-02-29,19,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2600.98,DAM,4
2016-03-01T05:00:00-00:00,2016-03-01T06:00:00-00:00,1,2016-02-29,22,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2382.06,DAM,4
2016-03-01T00:00:00-00:00,2016-03-01T01:00:00-00:00,1,2016-02-29,17,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2294.1,DAM,4
2016-03-01T03:00:00-00:00,2016-03-01T04:00:00-00:00,1,2016-02-29,20,0,DAM,PACW,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2608.09,DAM,4
2016-03-01T07:00:00-00:00,2016-03-01T08:00:00-00:00,1,2016-02-29,24,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,9890.72,DAM,5
2016-03-01T04:00:00-00:00,2016-03-01T05:00:00-00:00,1,2016-02-29,21,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,12454.8,DAM,5
2016-03-01T03:00:00-00:00,2016-03-01T04:00:00-00:00,1,2016-02-29,20,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,12941.4,DAM,5
2016-03-01T01:00:00-00:00,2016-03-01T02:00:00-00:00,1,2016-02-29,18,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,12020.86,DAM,5
2016-03-01T02:00:00-00:00,2016-03-01T03:00:00-00:00,1,2016-02-29,19,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,13032.07,DAM,5
2016-03-01T06:00:00-00:00,2016-03-01T07:00:00-00:00,1,2016-02-29,23,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,10653.43,DAM,5
2016-03-01T00:00:00-00:00,2016-03-01T01:00:00-00:00,1,2016-02-29,17,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,11462.77,DAM,5
2016-03-01T05:00:00-00:00,2016-03-01T06:00:00-00:00,1,2016-02-29,22,0,DAM,PGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.1,11655.33,DAM,5
2016-03-01T03:00:00-00:00,2016-03-01T04:00:00-00:00,1,2016-02-29,20,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,12339.41,DAM,6
2016-03-01T01:00:00-00:00,2016-03-01T02:00:00-00:00,1,2016-02-29,18,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,11889.19,DAM,6
2016-03-01T00:00:00-00:00,2016-03-01T01:00:00-00:00,1,2016-02-29,17,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,11702.53,DAM,6
2016-03-01T05:00:00-00:00,2016-03-01T06:00:00-00:00,1,2016-02-29,22,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,11069.32,DAM,6
2016-03-01T04:00:00-00:00,2016-03-01T05:00:00-00:00,1,2016-02-29,21,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,11909.84,DAM,6
2016-03-01T02:00:00-00:00,2016-03-01T03:00:00-00:00,1,2016-02-29,19,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,12649.18,DAM,6
2016-03-01T07:00:00-00:00,2016-03-01T08:00:00-00:00,1,2016-02-29,24,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,9194.02,DAM,6
2016-03-01T06:00:00-00:00,2016-03-01T07:00:00-00:00,1,2016-02-29,23,0,DAM,SCE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.2,10017.91,DAM,6
2016-03-01T01:00:00-00:00,2016-03-01T02:00:00-00:00,1,2016-02-29,18,0,DAM,SDGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.4,2744.99,DAM,7
2016-03-01T05:00:00-00:00,2016-03-01T06:00:00-00:00,1,2016-02-29,22,0,DAM,SDGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.4,2440.59,DAM,7
2016-03-01T04:00:00-00:00,2016-03-01T05:00:00-00:00,1,2016-02-29,21,0,DAM,SDGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.4,2679.17,DAM,7
2016-03-01T07:00:00-00:00,2016-03-01T08:00:00-00:00,1,2016-02-29,24,0,DAM,SDGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.4,1960.86,DAM,7
2016-03-01T06:00:00-00:00,2016-03-01T07:00:00-00:00,1,2016-02-29,23,0,DAM,SDGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.4,2170.47,DAM,7
2016-03-01T03:00:00-00:00,2016-03-01T04:00:00-00:00,1,2016-02-29,20,0,DAM,SDGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.4,2849.25,DAM,7
2016-03-01T02:00:00-00:00,2016-03-01T03:00:00-00:00,1,2016-02-29,19,0,DAM,SDGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.4,2944.22,DAM,7
2016-03-01T00:00:00-00:00,2016-03-01T01:00:00-00:00,1,2016-02-29,17,0,DAM,SDGE-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.4,2597.95,DAM,7
2016-03-01T03:00:00-00:00,2016-03-01T04:00:00-00:00,1,2016-02-29,20,0,DAM,VEA-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.5,50.69,DAM,8
2016-03-01T04:00:00-00:00,2016-03-01T05:00:00-00:00,1,2016-02-29,21,0,DAM,VEA-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.5,48.25,DAM,8
2016-03-01T02:00:00-00:00,2016-03-01T03:00:00-00:00,1,2016-02-29,19,0,DAM,VEA-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.5,52.02,DAM,8
2016-03-01T06:00:00-00:00,2016-03-01T07:00:00-00:00,1,2016-02-29,23,0,DAM,VEA-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.5,41.28,DAM,8
2016-03-01T01:00:00-00:00,2016-03-01T02:00:00-00:00,1,2016-02-29,18,0,DAM,VEA-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.5,50.55,DAM,8
2016-03-01T07:00:00-00:00,2016-03-01T08:00:00-00:00,1,2016-02-29,24,0,DAM,VEA-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.5,39.93,DAM,8
2016-03-01T05:00:00-00:00,2016-03-01T06:00:00-00:00,1,2016-02-29,22,0,DAM,VEA-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.5,44.1,DAM,8
2016-03-01T00:00:00-00:00,2016-03-01T01:00:00-00:00,1,2016-02-29,17,0,DAM,VEA-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.5,47.58,DAM,8
2016-03-02T00:00:00-00:00,2016-03-02T01:00:00-00:00,1,2016-03-01,17,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,26913.7,DAM,9
2016-03-01T23:00:00-00:00,2016-03-02T00:00:00-00:00,1,2016-03-01,16,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,26798.61,DAM,9
2016-03-01T13:00:00-00:00,2016-03-01T14:00:00-00:00,1,2016-03-01,6,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,21481.44,DAM,9
2016-03-01T22:00:00-00:00,2016-03-01T23:00:00-00:00,1,2016-03-01,15,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,26561.76,DAM,9
2016-03-02T06:00:00-00:00,2016-03-02T07:00:00-00:00,1,2016-03-01,23,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,23669.29,DAM,9
2016-03-01T16:00:00-00:00,2016-03-01T17:00:00-00:00,1,2016-03-01,9,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,25174.64,DAM,9
2016-03-01T12:00:00-00:00,2016-03-01T13:00:00-00:00,1,2016-03-01,5,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,19689.33,DAM,9
2016-03-02T03:00:00-00:00,2016-03-02T04:00:00-00:00,1,2016-03-01,20,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,28844.1,DAM,9
2016-03-02T02:00:00-00:00,2016-03-02T03:00:00-00:00,1,2016-03-01,19,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,29080.24,DAM,9
2016-03-02T05:00:00-00:00,2016-03-02T06:00:00-00:00,1,2016-03-01,22,0,DAM,CA ISO-TAC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2,25957.07,DAM,9
